from,to,relation
ICAO,K,2
K,ICAO,2
UN,K,2
K,UN,2
UNESCO,K,2
K,UNESCO,2
WTO,K,2
K,WTO,2
GCC,K,2
K,GCC,2
OPEC,K,2
K,OPEC,2
GR,K,2
K,GR,2
NAM,K,2
K,NAM,2
OIC,K,2
K,OIC,2
OECD,K,2
K,OECD,2
meam,QIA,7
meam,QE,7
meam,QA,7
meam,V,7
meam,QNB,7
mbaat,QIA,7
mbaat,K,7
mbhbkat,QIA,7
mbhbkat,e,6
e,mbhbkat,6
abaak,QIA,7
abaak,QNB,7
sbsak,QIA,7
sbsak,K,7
sbsak,QAE,7
mbhbqaaat,QIA,7
mbhbqaaat,K,7
mbhbqaaat,QAE,7
bbmbsat,QIA,7
nbgak,QIA,7
nbgak,PSG,7
hbaat,QIA,7
hbaat,e,6
e,hbaat,6
mbaat,e,6
e,mbaat,6
bbmbsat,e,6
e,bbmbsat,6
e,K,7
QIA,QNB,1
QIA,B,1
QIA,CS,1
QIA,DB,1
QIA,P,1
QIA,G,1
QIA,H,1
QIA,HAH,1
QIA,L,1
QIA,LSE,1
QIA,PSG,1
QIA,PO,1
QIA,RWE,1
QIA,S,1
QIA,SI,1
QIA,V,1
QIA,TC,1
QIA,VI,1
K,I,5
I,K,5
K,T,2
T,K,2
e,er,3
er,T,7
IHK,QFCA,3
QFCA,IHK,3
IHK,CH,8
QFCA,K,1
K,CR,5
CH,CR,1
CR,HBK,2
HBK,CR,2
K,HBK,1
CHEC,CH,8
QT,CHEC,2
CHEC,QT,2
QT,K,8
D,K,5
K,D,5
K,QAE,1
QAE,CP,2
CP,QAE,2
CP,USA,8
CP,D,5
D,CP,5
QAE,J,5
J,QAE,5
QAE,SK,5
SK,QAE,5
QAE,ID,5
ID,QAE,5
QAE,SIN,5
SIN,QAE,5
SIN,CH,8
QAE,EX,5
EX,QAE,5
EX,USA,8
QAE,QAL,1
HAA,QAL,1
QAE,HAA,2
HAA,QAE,2
K,N,5
N,K,5
HAA,N,8
K,TA,5
TA,K,5
K,GB,5
GB,K,5
K,POL,5
POL,K,5
K,PA,5
PA,K,5
K,ITA,5
ITA,K,5
K,AJ,1
mbn,QF,7
hbkat,QF,7
hbkat,mbn,6
mbn,hbkat,6
mbn,e,6
hbkat,e,6
e,mbn,6
e,hbkat,6
hbaat,mbaat,6
mbaat,hbaat,6
hbaat,mbhbkat,6
mbhbkat,hbaat,6
hbaat,bbmbsat,6
bbmbsat,hbaat,6
hbaat,hbkat,6
hbkat,hbaat,6
mbaat,mbhbkat,6
mbhbkat,mbaat,6
mbaat,bbmbsat,6
bbmbsat,mbaat,6
mbaat,hbkat,6
hbkat,mbaat,6
mbhbkat,bbmbsat,6
bbmbsat,mbhbkat,6
mbhbkat,hbkat,6
hbkat,mbhbkat,6
bbmbsat,hbkat,6
hbkat,bbmbsat,6
K,QF,1
QF,USA,2
USA,QF,2
QF,GB,2
GB,QF,2
QF,F,2
F,QF,2
QIA,PT,1
QIA,VIV,1
QIA,VE,1
QIA,TE,1
QIA,CA,1
QIA,M,1
QIA,R,1
QIA,PE,1
QIA,CL,1
QIA,HDL,1
QIA,HL,1
PT,F,8
VIV,F,8
VE,F,8
TE,F,8
CA,F,8
M,F,8
R,F,8
PE,F,8
CL,F,8
HDL,F,8
HLA,F,8
nbgak,e,6
e,nbgak,6
PSG,F,8
QA,FCB,3
aab,QA,7
aab,e,6
e,aab,6
FCB,D,8
K,ASR,3
ASR,ITA,8
K,VFL,1
V,VFL,1
VFL,D,8
HWM,K,2
K,HWM,2
LWM,K,2
K,LWM,2
WM,K,2
K,WM,2
FO,K,2
K,FO,2
K,USA,2
USA,K,2
K,AL,3
AL,K,8
USA,AL,1
dt,USA,7
dt,e,2
e,dt,2
QAE,PF,1
CPC,PF,1
CPC,USA,8
K,QAE,1
GRA,USA,8
K,GRA,5
TE,QAE,2
QAE,TE,3
K,TAL,3
K,Q,3
K,AN,3
K,HA,3
e,AL,1
AL,MUS,3
QC,MUS,3
QC,K,8
hbkat,MUS,3
mbaat,MUS,3
B,USA,8
CS,SCH,8
DB,D,8
P,RU,8
G,SCH,8
H,GB,8
HAH,GB,8
L,F,8
LSE,GB,8
PO,D,8
RWE,D,8
S,GB,8
SI,D,8
TC,USA,8
VI,F,8
V,D,8
QIA,HLA,1
HL,D,8
